CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE
11250281,7/8/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:32:30 AM,116 - 221 BLOCK OF 44TH STREET NE,405274,136049,7,7D,SIXTH,602,33,,007803 4,007803,Precinct 99,5/12/2011 11:00:00 PM,5/12/2011 11:15:00 PM
12003591,1/9/2013 12:59:00 AM,MIDNIGHT,THEFT/OTHER,OTHERS,4/10/2015 8:33:11 AM,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,FIFTH,505,22,,009102 2,009102,Precinct 72,1/9/2013 12:59:00 AM,1/9/2013 12:59:00 AM
12037530,3/23/2013 10:00:00 AM,DAY,THEFT/OTHER,OTHERS,4/10/2015 8:33:30 AM,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,392607,143559,3,3E,SECOND,202,11,,001001 1,001001,Precinct 31,3/20/2013 6:50:00 PM,3/20/2013 9:00:00 PM
12055744,8/19/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:32:34 AM,1400 - 1499 BLOCK OF CHAPIN STREET NW,397088,139298,1,1B,THIRD,304,2,,003700 3,003700,Precinct 23,4/15/2012 1:00:00 AM,4/15/2012 3:00:00 AM
12058169,5/13/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:32:34 AM,1900 - 1999 BLOCK OF 9TH STREET NW,397921.52,138712.81,1,1B,THIRD,305,3,,004400 2,004400,Precinct 137,4/29/2012 2:20:00 AM,4/29/2012 2:20:00 AM
12128314,9/10/2013 6:43:00 PM,EVENING,BURGLARY,OTHERS,4/10/2015 8:32:10 AM,200 - 299 BLOCK OF RHODE ISLAND AVENUE NW,398698,138541,1,1B,FIFTH,501,21,,003400 2,003400,Precinct 20,9/10/2013 6:43:00 PM,9/10/2013 6:43:00 PM
12139462,11/13/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:33:16 AM,1000 - 1199 BLOCK OF 6TH STREET SW,398273,134400,6,6D,FIRST,105,9,,010200 2,010200,Precinct 142,9/30/2012 3:30:00 PM,10/1/2012 4:00:00 AM
12174206,8/26/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:32:18 AM,2480 - 2599 BLOCK OF 16TH STREET NW,396835,139458,1,1C,THIRD,303,1,,003800 1,003800,Precinct 24,10/14/2012 12:01:00 AM,10/14/2012 2:00:00 AM
12182426,1/1/2013 12:15:00 AM,MIDNIGHT,ROBBERY,GUN,4/10/2015 8:33:17 AM,4700 - 4899 BLOCK OF C STREET SE,405689.0700192320,135331.4354830180,7,7E,SIXTH,604,33,,009906 1,009906,Precinct 104,1/1/2013 12:15:00 AM,1/1/2013 12:15:00 AM
12182429,1/1/2013 12:50:00 AM,MIDNIGHT,BURGLARY,OTHERS,4/10/2015 8:32:21 AM,1200 - 1299 BLOCK OF G STREET NE,400930,136784,6,6A,FIRST,104,25,,008402 1,008402,Precinct 82,1/1/2013 12:30:00 AM,1/1/2013 12:45:00 AM
12182465,1/1/2013 12:18:00 AM,MIDNIGHT,ROBBERY,GUN,4/10/2015 8:32:54 AM,200 - 299 BLOCK OF 37TH PLACE SE,404182,135422,7,7F,SIXTH,603,32,,007703 3,007703,Precinct 107,1/1/2013 12:18:00 AM,1/1/2013 12:18:00 AM
